사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표계,X좌표,Y좌표
2021010200100053,2021-01-02 10:00:00,토요일,서울특별시 마포구 구수동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),남,28,상해없음,이륜,남,49,중상,EPSG:5181,194066.02579262,449747.90669503
2021011000100182,2021-01-10 16:00:00,일요일,서울특별시 서초구 반포동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,정보없음,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,24,경상,승용,남,43,상해없음,EPSG:5181,201601.91336089,445614.34964187
2021011400100148,2021-01-14 10:00:00,목요일,서울특별시 서초구 서초동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,정보없음,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,24,부상신고,승용,여,39,상해없음,EPSG:5181,200524.55963108,442588.44509583
2021011500100555,2021-01-15 21:00:00,금요일,서울특별시 송파구 송파동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),남,26,상해없음,보행자,여,30,경상,EPSG:5181,209569.1932179,445214.50896024
2021011700100198,2021-01-17 18:00:00,일요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,정보없음,맑음,기타 - 기타,개인형이동수단(PM),남,34,상해없음,보행자,여,48,경상,EPSG:5181,202131.5358183,446477.50152318
2021011700100276,2021-01-17 21:00:00,일요일,서울특별시 마포구 서교동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),남,20,상해없음,보행자,여,19,경상,EPSG:5181,193126.75661391,450483.19461556
2021011800100231,2021-01-18 16:00:00,월요일,서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,정보없음,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,49,상해없음,보행자,여,86,경상,EPSG:5181,207440.09823175,454101.73982436
2021012100100066,2021-01-21 08:00:00,목요일,서울특별시 양천구 목동,경상사고,0,0,1,0,차대사람 - 기타,기타,정보없음,맑음,기타 - 기타,개인형이동수단(PM),여,21,상해없음,보행자,여,42,경상,EPSG:5181,188999.70180203,447188.00453673
2021012100100094,2021-01-21 09:00:00,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),여,30,상해없음,보행자,여,35,경상,EPSG:5181,202594.98539429,444356.13021042
2021012300100010,2021-01-23 01:00:00,토요일,서울특별시 서대문구 북가좌동,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,정보없음,맑음,교차로 - 교차로안,개인형이동수단(PM),남,27,상해없음,승용,남,69,상해없음,EPSG:5181,192026.70791769,453609.53813695
2021012400100234,2021-01-24 18:00:00,일요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),남,31,경상,승용,남,25,상해없음,EPSG:5181,202349.81686639,445311.20325704
2021012400100324,2021-01-24 21:00:00,일요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행cd,정보없음,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,19,상해없음,이륜,여,52,경상,EPSG:5181,203118.59351414,443903.73274478
2021012500100460,2021-01-25 19:00:00,월요일,서울특별시 서초구 서초동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,정보없음,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,40,기타불명,보행자,여,29,경상,EPSG:5181,202489.37057253,444087.4638423
2021012600100293,2021-01-26 15:00:00,화요일,서울특별시 강동구 명일동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,정보없음,맑음,단일로 - 기타,개인형이동수단(PM),여,22,상해없음,이륜,남,34,경상,EPSG:5181,212799.86349931,449661.46416866
2021012700100486,2021-01-27 21:00:00,수요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,정보없음,맑음,기타 - 기타,개인형이동수단(PM),남,30,상해없음,자전거,남,38,경상,EPSG:5181,184094.80107235,453969.47014405
2021012900100077,2021-01-29 08:00:00,금요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,정보없음,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31,경상,승용,남,42,상해없음,EPSG:5181,211079.92348803,443872.99327353
2021012900100116,2021-01-29 09:00:00,금요일,서울특별시 마포구 동교동,경상사고,0,0,1,0,  차대사람 - 차도통행중,안전운전불이행,정보없음,맑음,교차로 - 교차로안,개인형이동수단(PM),여,29,상해없음,보행자,여,27,경상,EPSG:5181,193156.76708527,451047.57015874
2021012900100298,2021-01-29 15:00:00,금요일,서울특별시 마포구 합정동,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,정보없음,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,21,상해없음,보행자,여,26,경상,EPSG:5181,192662.24611444,449793.46119684
